Year,Month,CO2,CH4,N2O,CFC-11,CFC-12,MEI,TSI,Aerosols,Temp
1997,5,366.69,1776.67,312.519,268.078,532.311,1.119,1365.7356,0.0055,0.254
1997,6,365.59,1768.27,312.568,268.026,532.575,2.307,1365.7267,0.005,0.367
1997,7,364.34,1751.61,312.647,267.784,532.827,2.756,1365.7217,0.0054,0.372
1997,8,362.2,1750.23,312.702,267.441,533.315,3.001,1365.7823,0.0051,0.406
1997,9,360.31,1775.56,312.845,267.414,534.415,3,1365.6734,0.0053,0.457
1997,10,360.71,1784.8,313.025,267.469,535.205,2.358,1365.9298,0.0051,0.485
1997,11,362.44,1783.94,313.032,267.495,535.405,2.518,1365.842,0.0047,0.449
1997,12,364.33,1783.14,313.223,267.368,535.373,2.32,1365.8847,0.0043,0.526
1998,1,365.18,1772.15,313.46,267.19,535.465,2.483,1365.9594,0.004,0.486
1998,2,365.98,1766.01,313.512,266.978,535.561,2.777,1365.9166,0.0037,0.739
1998,3,367.13,1774.54,313.346,266.593,535.421,2.748,1365.8236,0.0034,0.52
1998,4,368.61,1780.3,313.24,266.054,535.409,2.673,1366.0897,0.0031,0.608
1998,5,369.49,1781.02,313.26,265.841,535.766,2.169,1365.9614,0.0029,0.57
1998,6,368.95,1779,313.419,265.668,536.123,1.129,1366.0544,0.0027,0.579
1998,7,367.74,1762.46,313.542,265.787,536.151,0.285,1366.2444,0.0025,0.651
1998,8,365.79,1757.06,313.619,265.784,536.489,-0.41,1366.086,0.0024,0.616
1998,9,364.01,1771.02,313.7,265.911,537.326,-0.667,1366.0766,0.0023,0.4
1998,10,364.35,1787.32,313.89,266.395,538.583,-0.849,1366.3395,0.0022,0.409
1998,11,365.52,1798.26,314.201,266.352,538.473,-1.17,1366.2555,0.0022,0.342
1998,12,367.08,1802.92,314.504,266.247,538.66,-1.012,1366.3697,0.0022,0.424
1999,1,368.12,1796.25,314.589,266.016,538.872,-1.149,1366.4773,0.0022,0.366
1999,2,368.98,1784.64,314.571,265.701,538.971,-1.238,1366.2395,0.0022,0.54
1999,3,369.6,1788.08,314.444,265.343,539.005,-1.068,1366.3539,0.0021,0.29
1999,4,370.96,1788.27,314.324,265.111,538.895,-1.022,1366.2515,0.0021,0.322
1999,5,370.77,1773.11,314.381,264.811,539.015,-0.681,1366.3802,0.0021,0.248
1999,6,370.33,1771.39,314.436,264.479,538.912,-0.42,1366.395,0.0021,0.266
1999,7,369.28,1767.43,314.479,264.296,539.103,-0.465,1366.4328,0.0021,0.282
1999,8,366.86,1768.99,314.559,264.182,539.311,-0.787,1366.4732,0.0021,0.253
1999,9,364.94,1786.22,314.716,264.14,539.685,-1.004,1366.5807,0.0021,0.274
1999,10,365.35,1794.88,314.858,264.181,539.952,-1.011,1366.2295,0.0021,0.241
1999,11,366.68,1796.88,315.006,264.266,540.312,-1.079,1366.3525,0.0021,0.223
1999,12,368.04,1802.26,315.081,264.212,540.749,-1.207,1366.3697,0.0021,0.338
2000,1,369.25,1802.45,315.169,264.074,541.045,-1.197,1366.7211,0.0021,0.212
2000,2,369.5,1794.21,315.148,263.832,540.971,-1.246,1366.632,0.0021,0.363
2000,3,370.56,1792.32,315.162,263.473,540.729,-1.138,1366.4819,0.0021,0.334
2000,4,371.82,1787.23,315.201,263.068,541.073,-0.521,1366.6498,0.0021,0.446
2000,5,371.51,1774.19,315.434,262.655,541.342,0.157,1366.3611,0.0021,0.271
2000,6,371.71,1772.71,315.611,262.417,541.652,-0.15,1366.4507,0.0021,0.252
2000,7,369.85,1769.87,315.82,262.444,541.745,-0.201,1366.5754,0.0021,0.261
2000,8,368.2,1762.4,315.877,262.428,541.777,-0.14,1366.9738,0.0021,0.338
2000,9,366.91,1774.22,315.929,262.365,541.898,-0.247,1366.5276,0.0021,0.309
2000,10,366.99,1797.37,316.014,262.407,542.279,-0.381,1366.9746,0.0021,0.213
2000,11,368.33,1799.06,316.133,262.448,542.379,-0.755,1366.9062,0.0021,0.159
2000,12,369.67,1791.13,316.215,262.356,542.388,-0.581,1366.9492,0.0021,0.179
2001,1,370.52,1789.56,316.264,262.207,542.493,-0.539,1366.7811,0.0021,0.329
2001,2,371.49,1793.7,316.268,261.978,542.613,-0.717,1366.8458,0.0021,0.289
2001,3,372.53,1801.51,316.163,261.612,542.323,-0.607,1366.4121,0.0021,0.475
2001,4,373.37,1797.89,316.128,261.27,542.068,-0.146,1366.4659,0.0021,0.426
2001,5,373.82,1783.63,316.046,261.019,542.003,0.185,1366.52,0.0021,0.399
2001,6,373.18,1773.87,316.087,260.816,542.143,-0.076,1366.5092,0.0021,0.416
2001,7,371.57,1769.8,316.159,260.612,542.092,0.253,1366.7203,0.0021,0.452
2001,8,369.63,1765.16,316.233,260.4,542.131,0.367,1366.4475,0.0021,0.498
2001,9,368.16,1780.4,316.324,260.311,542.279,-0.126,1366.301,0.0021,0.405
2001,10,368.42,1791.44,316.51,260.355,542.802,-0.276,1366.814,0.0021,0.378
2001,11,369.69,1793.55,316.729,260.434,543.226,-0.18,1366.52,0.0021,0.491
2001,12,371.18,1796.58,316.883,260.432,543.419,0.003,1366.891,0.0022,0.323
2002,1,372.45,1787.94,316.967,260.392,543.501,-0.05,1367.3162,0.0021,0.568
2002,2,373.14,1783.38,317.009,260.284,543.813,-0.21,1367.1783,0.0021,0.593
2002,3,373.93,1786.67,316.969,260.008,543.473,-0.201,1367.0065,0.002,0.586
2002,4,375,1782.47,316.882,259.574,543.165,0.339,1366.6454,0.002,0.443
2002,5,375.65,1778.81,316.806,259.153,543.053,0.778,1366.647,0.0019,0.432
2002,6,375.5,1775.11,316.849,258.797,543.279,0.853,1366.6873,0.0019,0.455
2002,7,374,1766.96,316.874,258.6,543.181,0.596,1366.1716,0.0016,0.462
2002,8,371.83,1766.58,316.9,258.399,542.882,0.922,1366.3053,0.0021,0.417
2002,9,370.66,1780.92,317.015,258.269,543.078,0.808,1366.4584,0.0022,0.413
2002,10,370.51,1796,317.133,258.274,543.472,0.952,1366.5261,0.0022,0.362
2002,11,372.2,1801.67,317.234,258.289,543.647,1.059,1366.4495,0.0024,0.397
2002,12,373.71,1793.14,317.214,257.956,543.383,1.11,1366.7773,0.0026,0.326
2003,1,374.87,1786.46,317.207,257.416,543.113,1.184,1366.6034,0.0028,0.514
2003,2,375.62,1792.28,317.268,257.107,543.032,0.927,1366.5458,0.0028,0.427
2003,3,376.48,1797.44,317.403,256.985,543.149,0.819,1366.1968,0.0026,0.418
2003,4,377.74,1795.5,317.555,256.724,543.028,0.308,1366.2227,0.0026,0.408
2003,5,378.5,1787.39,317.556,256.395,542.513,0.048,1366.1753,0.0025,0.439
2003,6,378.18,1791.12,317.558,256.239,542.162,0.026,1366.0914,0.0025,0.437
2003,7,376.72,1785.91,317.604,256.118,542.208,0.089,1366.2437,0.0026,0.457
2003,8,374.32,1773.56,317.703,255.889,542.529,0.241,1366.2744,0.0028,0.514
2003,9,373.2,1788.75,317.796,255.641,542.719,0.441,1366.3611,0.0029,0.499
2003,10,373.1,1806.62,317.95,255.573,542.935,0.509,1365.5612,0.0028,0.55
2003,11,374.64,1808.15,318.08,255.679,543.166,0.519,1366.1956,0.0028,0.419
2003,12,375.93,1795.07,318.129,255.522,543.199,0.315,1366.2899,0.0027,0.519
2004,1,377,1790.34,318.193,255.276,543.133,0.308,1366.1038,0.0025,0.496
2004,2,377.87,1798.45,318.188,255.018,543.039,0.33,1366.089,0.0024,0.56
2004,3,378.73,1807.48,318.198,254.712,543.008,-0.125,1366.1272,0.0024,0.501
2004,4,380.41,1806.05,318.13,254.385,542.685,0.216,1366.1742,0.0024,0.484
2004,5,380.63,1788.24,318.101,254.176,542.361,0.47,1366.0297,0.0022,0.323
2004,6,379.56,1780.35,318.074,253.87,542.098,0.17,1366.0179,0.0022,0.35
2004,7,377.61,1775.16,318.131,253.59,541.999,0.472,1365.7578,0.0023,0.38
2004,8,376.15,1770.29,318.236,253.44,541.864,0.669,1365.9036,0.0025,0.418
2004,9,374.11,1778.7,318.314,253.211,541.798,0.524,1366.0957,0.0025,0.442
2004,10,374.44,1791.29,318.476,252.899,542.317,0.467,1366.1166,0.0025,0.468
2004,11,375.93,1801.03,318.648,252.783,542.474,0.786,1366.0057,0.0025,0.521
2004,12,377.45,1797.24,318.825,252.754,542.172,0.643,1366.1552,0.0027,0.381
2005,1,378.47,1789.02,318.858,252.659,541.892,0.301,1365.7864,0.0029,0.452
2005,2,379.76,1796.63,318.864,252.479,542.021,0.799,1365.9349,0.0031,0.364
2005,3,381.14,1803.37,318.866,252.271,542.044,1.018,1365.8956,0.0034,0.493
2005,4,382.2,1791.84,318.866,251.965,541.74,0.559,1365.88,0.0035,0.53
2005,5,382.47,1781.36,318.866,251.676,541.332,0.756,1365.8463,0.0034,0.476
2005,6,382.2,1780.6,318.847,251.511,540.979,0.487,1365.8059,0.0033,0.506
2005,7,380.78,1771.92,318.861,251.306,540.964,0.492,1365.8595,0.0033,0.532
2005,8,378.73,1766.98,318.933,251.077,540.978,0.321,1365.9275,0.0036,0.502
2005,9,376.66,1787.78,319.108,250.998,541.206,0.255,1365.7988,0.0037,0.498
2005,10,376.98,1806.71,319.299,251.021,541.44,-0.166,1365.886,0.0037,0.495
2005,11,378.29,1803.68,319.525,251.048,541.756,-0.407,1365.7792,0.0037,0.478
2005,12,379.92,1798.89,319.688,250.989,541.799,-0.585,1365.8549,0.0036,0.366
2006,1,381.35,1795.03,319.826,250.771,541.627,-0.471,1365.8986,0.0034,0.32
2006,2,382.16,1786.41,319.947,250.484,541.273,-0.455,1365.8728,0.0033,0.435
2006,3,382.66,1786.77,319.902,250.155,540.952,-0.591,1365.785,0.0032,0.38
2006,4,384.73,1801.19,319.815,249.989,540.741,-0.688,1365.8058,0.0032,0.378
2006,5,384.98,1798.85,319.848,249.839,540.456,-0.036,1365.923,0.003,0.352
2006,6,384.09,1780.21,319.882,249.614,539.999,0.563,1365.834,0.0033,0.442
2006,7,382.38,1765.95,319.872,249.247,539.725,0.628,1365.8212,0.0038,0.456
2006,8,380.45,1762.66,319.93,248.981,539.682,0.759,1365.7067,0.0041,0.482
2006,9,378.92,1776.04,320.01,248.775,539.566,0.793,1365.8419,0.0043,0.425
2006,10,379.16,1789.02,320.125,248.666,539.488,0.892,1365.827,0.0044,0.472
2006,11,380.18,1791.91,320.321,248.605,539.5,1.292,1365.7039,0.0049,0.44
2006,12,381.79,1795.04,320.451,248.48,539.377,0.951,1365.7087,0.0054,0.518
2007,1,382.93,1799.66,320.561,248.372,539.206,0.974,1365.7173,0.0054,0.601
2007,2,383.81,1803.08,320.571,248.264,538.973,0.51,1365.7145,0.0051,0.498
2007,3,384.56,1803.1,320.548,247.997,538.811,0.074,1365.7544,0.0045,0.435
2007,4,386.4,1802.11,320.518,247.574,538.586,-0.049,1365.7228,0.0045,0.466
2007,5,386.58,1795.65,320.445,247.224,538.13,0.183,1365.6932,0.0041,0.372
2007,6,386.05,1781.81,320.332,246.881,537.376,-0.358,1365.7616,0.004,0.382
2007,7,384.49,1771.89,320.349,246.497,537.113,-0.29,1365.7506,0.004,0.394
2007,8,382,1779.38,320.471,246.307,537.125,-0.44,1365.7566,0.0041,0.358
2007,9,380.9,1794.21,320.618,246.214,537.281,-1.162,1365.7159,0.0042,0.402
2007,10,381.14,1802.38,320.855,246.189,537.38,-1.142,1365.7388,0.0041,0.362
2007,11,382.42,1803.79,321.062,246.178,537.319,-1.177,1365.668,0.0042,0.266
2007,12,383.89,1805.58,321.217,246.261,537.052,-1.168,1365.6927,0.004,0.226
2008,1,385.44,1809.92,321.328,246.183,536.876,-1.011,1365.7163,0.0038,0.074
2008,2,385.73,1803.45,321.345,245.898,536.484,-1.402,1365.7366,0.0036,0.198
2008,3,385.97,1792.84,321.295,245.43,535.979,-1.635,1365.6726,0.0034,0.447
2008,4,387.16,1792.57,321.354,245.086,535.648,-0.942,1365.7146,0.0033,0.278
2008,5,388.5,1796.43,321.42,244.914,535.399,-0.355,1365.7175,0.0031,0.283
2008,6,387.88,1791.8,321.447,244.676,535.128,0.128,1365.673,0.0031,0.315
2008,7,386.42,1782.93,321.372,244.434,535.026,0.003,1365.672,0.0033,0.406
2008,8,384.15,1779.88,321.405,244.2,535.072,-0.266,1365.657,0.0036,0.407
2008,9,383.09,1795.08,321.529,244.083,535.048,-0.643,1365.6647,0.0043,0.378
2008,10,382.99,1814.18,321.796,244.08,534.927,-0.78,1365.6759,0.0046,0.44
2008,11,384.13,1812.37,322.013,244.225,534.906,-0.621,1365.7065,0.0048,0.394
